ID,rating
5001,1
5002,1
5003,0
5004,1
5005,1
5006,1
5007,1
5008,0
5009,1
5010,1
5011,1
5012,1
5013,1
5014,0
5015,1
5016,1
5017,1
5018,1
5019,1
5020,1
5021,0
5022,0
5023,1
5024,1
5025,0
5026,0
5027,0
5028,0
5029,1
5030,1
5031,1
5032,0
5033,1
5034,1
5035,0
5036,1
5037,1
5038,1
5039,0
5040,0
5041,1
5042,1
5043,1
5044,1
5045,1
5046,1
5047,1
5048,1
5049,1
5050,1
5051,1
5052,0
5053,1
5054,0
5055,0
5056,1
5057,0
5058,1
5059,1
5060,1
5061,1
5062,1
5063,0
5064,1
5065,1
5066,0
5067,1
5068,0
5069,1
5070,1
5071,1
5072,0
5073,1
5074,0
5075,1
5076,1
5077,0
5078,0
5079,1
5080,1
5081,0
5082,1
5083,0
5084,0
5085,1
5086,1
5087,1
5088,0
5089,1
5090,1
5091,1
5092,1
5093,1
5094,1
5095,0
5096,1
5097,1
5098,1
5099,1
5100,1
5101,0
5102,1
5103,1
5104,1
5105,1
5106,0
5107,0
5108,1
5109,1
5110,0
5111,1
5112,1
5113,1
5114,1
5115,1
5116,1
5117,0
5118,1
5119,1
5120,1
5121,1
5122,0
5123,0
5124,1
5125,1
5126,1
5127,0
5128,1
5129,1
5130,1
5131,1
5132,1
5133,1
5134,0
5135,0
5136,1
5137,1
5138,0
5139,1
5140,0
5141,1
5142,0
5143,0
5144,1
5145,1
5146,1
5147,1
5148,0
5149,0
5150,1
5151,1
5152,1
5153,1
5154,1
5155,1
5156,1
5157,0
5158,0
5159,0
5160,1
5161,0
5162,1
5163,0
5164,0
5165,1
5166,0
5167,0
5168,1
5169,1
5170,0
5171,1
5172,1
5173,0
5174,0
5175,1
5176,1
5177,1
5178,1
5179,1
5180,0
5181,1
5182,1
5183,1
5184,0
5185,0
5186,1
5187,0
5188,1
5189,1
5190,0
5191,1
5192,1
5193,1
5194,1
5195,1
5196,0
5197,1
5198,1
5199,0
5200,1
5201,1
5202,0
5203,0
5204,1
5205,1
5206,1
5207,1
5208,0
5209,1
5210,1
5211,1
5212,1
5213,1
5214,1
5215,1
5216,0
5217,0
5218,1
5219,1
5220,0
5221,0
5222,1
5223,0
5224,0
5225,0
5226,1
5227,1
5228,1
5229,1
5230,0
5231,1
5232,1
5233,0
5234,0
5235,1
5236,0
5237,1
5238,1
5239,1
5240,0
5241,0
5242,1
5243,0
5244,1
5245,0
5246,1
5247,1
5248,0
5249,0
5250,1
5251,0
5252,0
5253,0
5254,0
5255,0
5256,0
5257,1
5258,1
5259,1
5260,0
5261,1
5262,1
5263,0
5264,1
5265,1
5266,1
5267,1
5268,1
5269,1
5270,1
5271,1
5272,0
5273,0
5274,1
5275,0
5276,1
5277,0
5278,1
5279,1
5280,0
5281,0
5282,1
5283,1
5284,0
5285,0
5286,0
5287,0
5288,1
5289,0
5290,0
5291,1
5292,1
5293,1
5294,1
5295,1
5296,0
5297,1
5298,0
5299,1
5300,0
5301,0
5302,0
5303,0
5304,1
5305,0
5306,1
5307,1
5308,1
5309,1
5310,0
5311,0
5312,0
5313,1
5314,1
5315,0
5316,1
5317,0
5318,1
5319,0
5320,1
5321,0
5322,0
5323,1
5324,1
5325,0
5326,1
5327,1
5328,1
5329,1
5330,0
5331,1
5332,1
5333,1
5334,1
5335,1
5336,1
5337,0
5338,0
5339,0
5340,1
5341,1
5342,0
5343,1
5344,1
5345,0
5346,0
5347,0
5348,0
5349,1
5350,1
5351,0
5352,1
5353,1
5354,1
5355,1
5356,0
5357,1
5358,0
5359,1
5360,1
5361,1
5362,1
5363,0
5364,0
5365,1
5366,0
5367,1
5368,0
5369,0
5370,1
5371,0
5372,1
5373,0
5374,1
5375,1
5376,1
5377,0
5378,1
5379,1
5380,0
5381,1
5382,1
5383,1
5384,0
5385,1
5386,0
5387,1
5388,0
5389,1
5390,1
5391,1
5392,0
5393,1
5394,1
5395,1
5396,0
5397,0
5398,1
5399,1
5400,0
5401,1
5402,0
5403,0
5404,1
5405,0
5406,0
5407,1
5408,1
5409,1
5410,0
5411,1
5412,1
5413,0
5414,1
5415,0
5416,0
5417,1
5418,1
5419,0
5420,0
5421,0
5422,0
5423,1
5424,0
5425,1
5426,1
5427,0
5428,0
5429,0
5430,0
5431,0
5432,1
5433,1
5434,1
5435,1
5436,0
5437,1
5438,1
5439,1
5440,0
5441,1
5442,0
5443,1
5444,0
5445,0
5446,1
5447,1
5448,1
5449,1
5450,0
5451,0
5452,1
5453,1
5454,1
5455,0
5456,0
5457,0
5458,0
5459,0
5460,0
5461,1
5462,0
5463,1
5464,1
5465,1
5466,1
5467,1
5468,1
5469,1
5470,1
5471,1
5472,0
5473,0
5474,1
5475,1
5476,1
5477,0
5478,0
5479,1
5480,0
5481,0
5482,1
5483,1
5484,0
5485,1
5486,0
5487,0
5488,1
5489,0
5490,1
5491,1
5492,1
5493,1
5494,0
5495,0
5496,1
5497,1
5498,0
5499,1
5500,0
5501,1
5502,0
5503,0
5504,1
5505,0
5506,0
5507,1
5508,0
5509,0
5510,1
5511,0
5512,0
5513,1
5514,0
5515,1
5516,1
5517,0
5518,1
5519,1
5520,0
5521,1
5522,1
5523,1
5524,1
5525,0
5526,1
5527,0
5528,0
5529,0
5530,0
5531,0
5532,1
5533,1
5534,0
5535,0
5536,0
5537,0
5538,1
5539,0
5540,1
5541,1
5542,0
5543,0
5544,0
5545,0
5546,1
5547,1
5548,1
5549,0
5550,0
5551,0
5552,0
5553,1
5554,1
5555,0
5556,0
5557,1
5558,0
5559,1
5560,0
5561,1
5562,0
5563,1
5564,0
5565,1
5566,1
5567,1
5568,0
5569,1
5570,0
5571,1
5572,1
5573,1
5574,0
5575,0
5576,1
5577,0
5578,0
5579,0
5580,0
5581,1
5582,1
5583,1
5584,1
5585,1
5586,1
5587,1
5588,1
5589,0
5590,1
5591,0
5592,1
5593,1
5594,1
5595,1
5596,0
5597,0
5598,1
5599,1
5600,1
5601,1
5602,0
5603,1
5604,0
5605,1
5606,0
5607,1
5608,0
5609,1
5610,0
5611,1
5612,0
5613,1
5614,0
5615,0
5616,1
5617,1
5618,1
5619,0
5620,1
5621,0
5622,0
5623,1
5624,1
5625,1
5626,1
5627,1
5628,1
5629,0
5630,0
5631,1
5632,1
5633,1
5634,0
5635,0
5636,1
5637,1
5638,1
5639,1
5640,0
5641,1
5642,0
5643,1
5644,1
5645,1
5646,1
5647,1
5648,1
5649,0
5650,0
5651,1
5652,1
5653,1
5654,0
5655,0
5656,0
5657,1
5658,1
5659,1
5660,1
5661,1
5662,1
5663,1
5664,0
5665,1
5666,0
5667,0
5668,0
5669,1
5670,1
5671,1
5672,1
5673,1
5674,1
5675,0
5676,1
5677,0
5678,1
5679,1
5680,0
5681,0
5682,1
5683,0
5684,0
5685,1
5686,1
5687,1
5688,0
5689,1
5690,1
5691,0
5692,0
5693,0
5694,1
5695,1
5696,0
5697,0
5698,0
5699,1
5700,0
5701,1
5702,1
5703,1
5704,0
5705,1
5706,0
5707,1
5708,1
5709,0
5710,1
5711,1
5712,0
5713,1
5714,1
5715,1
5716,1
5717,0
5718,1
5719,1
5720,1
5721,1
5722,1
5723,0
5724,1
5725,0
5726,1
5727,0
5728,0
5729,1
5730,1
5731,1
5732,0
5733,1
5734,1
5735,1
5736,1
5737,1
5738,0
5739,1
5740,0
5741,0
5742,0
5743,0
5744,0
5745,1
5746,1
5747,0
5748,1
5749,0
5750,1
5751,1
5752,0
5753,0
5754,1
5755,1
5756,1
5757,1
5758,1
5759,0
5760,0
5761,1
5762,1
5763,0
5764,1
5765,1
5766,0
5767,1
5768,1
5769,0
5770,1
5771,1
5772,0
5773,0
5774,1
5775,0
5776,1
5777,1
5778,1
5779,0
5780,1
5781,0
5782,1
5783,1
5784,1
5785,0
5786,1
5787,0
5788,1
5789,1
5790,1
5791,1
5792,0
5793,1
5794,0
5795,1
5796,0
5797,1
5798,0
5799,1
5800,1
5801,0
5802,1
5803,1
5804,1
5805,0
5806,0
5807,1
5808,1
5809,0
5810,1
5811,1
5812,1
5813,1
5814,0
5815,1
5816,1
5817,1
5818,0
5819,1
5820,0
5821,1
5822,0
5823,1
5824,0
5825,0
5826,1
5827,0
5828,0
5829,1
5830,0
5831,1
5832,0
5833,1
5834,0
5835,1
5836,1
5837,0
5838,1
5839,1
5840,0
5841,1
5842,1
5843,1
5844,1
5845,0
5846,1
5847,1
5848,1
5849,1
5850,0
5851,1
5852,1
5853,1
5854,0
5855,0
5856,1
5857,1
5858,1
5859,0
5860,1
5861,1
5862,1
5863,0
5864,0
5865,0
5866,1
5867,0
5868,1
5869,1
5870,1
5871,1
5872,1
5873,0
5874,1
5875,1
5876,0
5877,1
5878,1
5879,1
5880,1
5881,0
5882,0
5883,1
5884,1
5885,1
5886,1
5887,0
5888,1
5889,1
5890,0
5891,1
5892,0
5893,1
5894,0
5895,1
5896,0
5897,1
5898,1
5899,0
5900,1
5901,0
5902,1
5903,0
5904,0
5905,0
5906,1
5907,1
5908,0
5909,1
5910,0
5911,1
5912,1
5913,1
5914,0
5915,0
5916,0
5917,0
5918,1
5919,0
5920,0
5921,1
5922,1
5923,0
5924,1
5925,1
5926,1
5927,1
5928,1
5929,1
5930,0
5931,0
5932,0
5933,1
5934,0
5935,0
5936,1
5937,1
5938,0
5939,1
5940,0
5941,0
5942,0
5943,1
5944,1
5945,1
5946,0
5947,0
5948,0
5949,1
5950,1
5951,1
5952,1
5953,1
5954,1
5955,1
5956,1
5957,1
5958,1
5959,1
5960,1
5961,0
5962,0
5963,1
5964,1
5965,0
5966,1
5967,0
5968,1
5969,1
5970,1
5971,1
5972,1
5973,1
5974,1
5975,0
5976,1
5977,1
5978,0
5979,0
5980,1
5981,1
5982,1
5983,1
5984,1
5985,0
5986,1
5987,1
5988,1
5989,1
5990,1
5991,1
5992,0
5993,1
5994,1
5995,1
5996,1
5997,0
5998,0
5999,1
6000,1
